formula,language_family,upstream_ecosystem,reason,notes
nmap,c,c,top_installs_rank_71,Port scanning utility for large networks
python@3.9,c,c,top_installs_rank_72,"Interpreted, interactive, object-oriented programming language"
tesseract,c,c,top_installs_rank_73,OCR (Optical Character Recognition) engine
qemu,c,c,top_installs_rank_74,Generic machine emulator and virtualizer
anomalyco/tap/opencode,c,c,top_installs_rank_75,
rbenv,c,c,top_installs_rank_76,Ruby version manager
pango,c,c,top_installs_rank_77,Framework for layout and rendering of i18n text
norwoodj/tap/helm-docs,c,c,top_installs_rank_78,
lazygit,go,go,top_installs_rank_79,Simple terminal UI for git commands
just,rust,cargo,top_installs_rank_80,Handy way to save and run project-specific commands
automake,c,c,top_installs_rank_81,Tool for generating GNU Standards-compliant Makefiles
vim,c,c,top_installs_rank_82,Vi 'workalike' with many additional features
gnutls,c,c,top_installs_rank_83,GNU Transport Layer Security (TLS) Library
terragrunt,go,go,top_installs_rank_84,Thin wrapper for Terraform e.g. for locking state
ansible,rust,cargo,top_installs_rank_85,"Automate deployment, configuration, and upgrading"
mint,swift,swiftpm,top_installs_rank_86,Dependency manager that installs and runs Swift command-line tool packages
fastfetch,c,c,top_installs_rank_87,"Like neofetch, but much faster because written mostly in C"
podman,go,go,top_installs_rank_88,Tool for managing OCI containers and pods
glab,go,go,top_installs_rank_89,Open-source GitLab command-line tool
unbound,c,c,top_installs_rank_90,"Validating, recursive, caching DNS resolver"
libpq,c,c,top_installs_rank_91,Postgres C API library
bash,c,c,top_installs_rank_92,"Bourne-Again SHell, a UNIX command interpreter"
librsvg,rust,cargo,top_installs_rank_93,Library to render SVG files using Cairo
gradle,c,c,top_installs_rank_94,Open-source build automation tool based on the Groovy and Kotlin DSL
k9s,go,go,top_installs_rank_95,Kubernetes CLI To Manage Your Clusters In Style!
htop,c,c,top_installs_rank_96,Improved top (interactive process viewer)
eza,rust,cargo,top_installs_rank_97,"Modern, maintained replacement for ls"
starship,rust,cargo,top_installs_rank_98,Cross-shell prompt for astronauts
xclogparser,c,c,top_installs_rank_99,Tool to parse the SLF serialization format used by Xcode
cloudflared,go,go,top_installs_rank_100,Cloudflare Tunnel client (formerly Argo Tunnel)
